ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26001494,7/7/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,125,274.757,125,0,2.198056
26001495,7/7/2026,1171028,حلاوة بلك فستق ميار,kg,2337,2702.453,2337,0,1.156376979
26001496,7/7/2026,1021020,ميار حلاوة 2200 غم برش فستق 1*4,حبة,399,1079.175,399,1.31422E-13,2.704699248
26001497,7/7/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,2099,1635.508,2099,0,0.779184374
26001498,7/7/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,1352,2206.831,1352,0,1.63227145
26001499,7/7/2026,1021024,الموسم حلاوة 6 كغم فستق 1*4,حبة,331,2074.723,331,0,6.268045317
26001500,7/8/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,1196,1657.845,1196,0,1.386158027
26001501,7/8/2026,1021063,شيخ الكار حلاوة 2300 غم فستق 1*4,حبة,400,907.13,400,0,2.267825
26001502,7/8/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,1200,406.572,1200,0,0.33881
26001503,7/8/2026,1021049,شيخ الكار حلاوة 300 غم شوكولاته 1*12,حبة,1200,418.956,1200,0,0.34913
26001504,7/8/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,276,204.123,276,0,0.739576087
26001505,7/8/2026,1021005,ميار حلاوة 300 غم رشة فستق 1*12,حبة,1728,707.812,1728,0,0.409613426
26001506,7/8/2026,1011101,الموسم طحينية 400 غم 1*12,حبة,7200,4986.316,7200,0,0.692543889
26001507,7/8/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,2040,2069.41,2040,0,1.014416667
26001508,7/8/2026,1011021,شيخ الكار طحينية 5 كغم 1*4,حبة,2,11.72,2,0,5.86
26001509,7/8/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,3185,2274.061,3185,26.581368,0.713990895
26001510,7/8/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,324,274.763,324,0,0.848033951
26001511,7/8/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,2413,2069.22,2413,0,0.857530046
26001512,7/8/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,502,430.2,502,0,0.856972112
26001513,7/8/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,2257,2214.328,2257,31.574771,0.981093487
26001514,7/8/2026,1171013,حلاوة بلك رشة فستق ميار,kg,485,537.795,485,0,1.10885567
26001515,7/9/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,5781,5742.5,5781,163.221681,0.993340253
26001516,7/9/2026,1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,حبة,442,0,442,0,0
26001517,7/9/2026,1171028,حلاوة بلك فستق ميار,kg,3343,3568.053,3343,0,1.06732067
26001518,7/9/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,3012,4625.036,3012,0,1.535536521
26001519,7/9/2026,1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,حبة,1596,814.918,1596,0,0.510600251
26001520,7/9/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,200,3843.4,200,0,19.217
26001521,7/9/2026,1011033,شيخ الكار طحينية 15 كغم تنك 1*1,تنكة,320,4899.04,320,0,15.3095
26001522,7/9/2026,1011021,شيخ الكار طحينية 5 كغم 1*4,حبة,2,14.209,2,0,7.1045
26001523,7/12/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1365,1338.552,1365,21.287271,0.980624176
26001524,7/12/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,1300,955.779,1300,41.184734,0.735214615
26001525,7/12/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,456,433.308,456,0,0.950236842
26001526,7/12/2026,1011033,شيخ الكار طحينية 15 كغم تنك 1*1,تنكة,160,2467.28,160,0,15.4205
26001527,7/12/2026,1011091,شيخ الكار طحينية 700 غم 1*12,حبة,84,63.28,84,0,0.753333333
26001528,7/12/2026,1021041,شيخ الكار حلاوة 700 غم سادة 1*12,حبة,1331,839.953,1331,0,0.631069121
26001529,7/12/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,76,473.841,76,0,6.23475
26001530,7/12/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,200,3843.4,200,0,19.217
26001531,7/12/2026,1011105,زيت سيرج 16.5 كغم تنك 1*1,تنكة,10,585.59,10,0,58.559
26001532,7/13/2026,1171018,زيت سيرج بلك,kg,165,571.131,165,0,3.4614
26001533,7/13/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,240,2202.96,240,0,9.179
26001534,7/13/2026,1011015,الموسم طحينية 9 كغم تنك 1*1,حبة,240,3333.816,240,0,13.8909
26001535,7/13/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,1034,6005.409,1034,0,5.807939072
26001536,7/13/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,2233,1623.985,2233,53.05192,0.72726601
26001537,7/13/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,2265,2191.967,2265,0,0.96775585
26001538,7/13/2026,1021099,الضياء حلاوة 400 غم فستق 1*12,حبة,600,269.856,600,0,0.44976
26001539,7/13/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1320,1269.021,1320,0,0.961379545
26001540,7/13/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,1247,999.682,1247,0,0.801669607
26001541,7/13/2026,1021062,شيخ الكار حلاوة 800 غم فستق 1*12,حبة,120,113.786,120,0,0.948216667
26001542,7/13/2026,1171016,حلاوة بلك دايت,kg,270,581.057,270,60.437106,2.152062963
26001543,7/13/2026,1021047,شيخ الكار حلاوة 400 غم سادة دايت 1*12,حبة,675,657.049,675,0,0.973405926
26001544,7/13/2026,1021037,شيخ الكار حلاوة 400 غم فستق 1*12,حبة,22,11.029,22,0,0.501318182
26001545,7/13/2026,1171015,طحينية بلك شيخ الكار حجر,kg,40000,39795.205,40000,0,0.994880125
26001546,7/13/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,2400,2444.8,2400,0,1.018666667
26001547,7/14/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,2261,1616.811,2261,28.906183,0.715086687
26001548,7/14/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,3684,3529.53,3684,5.686274,0.958070033
26001549,7/14/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,1446,1467.32,1446,0,1.014744122
26001550,7/14/2026,1011006,شيخ الكار طحينية 300 غم 1*12 جديد,حبة,2400,1052.02,2400,26,0.438341667
26001551,7/14/2026,1011026,شيخ الكار طحينية 400 غم 1*12,حبة,1800,965.7,1800,0,0.5365
26001552,7/14/2026,1011101,الموسم طحينية 400 غم 1*12,حبة,1800,1291.554,1800,0,0.71753
26001553,7/15/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,2220,2194.647,2220,60.707138,0.98857973
26001554,7/15/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,2705,1944.351,2705,44.998248,0.718798891
26001555,7/15/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,1536,1515.072,1536,0,0.986375
26001556,7/15/2026,1011088,الموسم طحينية 800 غم  1*12,حبة,1920,2481.44,1920,0,1.292416667
26001557,7/15/2026,1011007,ميار طحينية 900 غم مطرة 1*12,حبة,1800,2509.35,1800,0,1.394083333
26001558,7/15/2026,1011033,شيخ الكار طحينية 15 كغم تنك 1*1,تنكة,400,6185.1,400,0,15.46275
26001559,7/15/2026,1171017,طحينية بلك ميار - موسم  كروما,kg,5000,7479.35,5000,0,1.49587
26001560,7/15/2026,1021024,الموسم حلاوة 6 كغم فستق 1*4,حبة,116,766.035,116,0,6.60375
26001561,7/15/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,152,1000.578,152,0,6.58275
26001562,7/15/2026,1021062,شيخ الكار حلاوة 800 غم فستق 1*12,حبة,1920,1857.44,1920,0,0.967416667
26001563,7/15/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,960,726.16,960,0,0.756416667
26001564,7/15/2026,1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,حبة,960,925.504,960,0,0.964066667
26001565,7/15/2026,1021052,شيخ الكار حلاوة 4 كغم سادة تنك 1*1,تنكة,210,835.8,210,0,3.98
26001566,7/15/2026,1021037,شيخ الكار حلاوة 400 غم فستق 1*12,حبة,1728,880.704,1728,0,0.509666667
26001567,7/15/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,465,379.962,465,0,0.817122581
26001568,7/15/2026,1011020,شيخ الكار طحينية 800 غم 1*12,حبة,2112,2054.096,2112,0,0.972583333
