ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26000044,1/12/2026,1171015,طحينية بلك شيخ الكار حجر,kg,20000,29989.9,20000,0,1.499495
26000045,1/20/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,9534,9217.06,9534,0,0.96675687
26000046,1/12/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,4803,5800.65,4803,0,1.207713929
26000047,1/20/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,14110,14435.919,14110,0,1.023098441
26000048,1/21/2026,1171015,طحينية بلك شيخ الكار حجر,kg,20000,29989.9,20000,0,1.499495
26000049,1/21/2026,1171028,حلاوة بلك فستق ميار,kg,1459,1715.206,1459,0,1.175603838
26000050,1/21/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,16,18.32,16,0,1.145
26000051,1/13/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,3705,3937.12,3705,0,1.062650472
26000052,1/13/2026,1171016,حلاوة بلك دايت,kg,283.6,643.244,283.6,0,2.268138223
26000053,1/12/2026,1021013,شيخ الكار حلاوة 400 غم سادة 1*12,حبة,1734,941.776,1734,0,0.543123414
26000054,1/12/2026,1021037,شيخ الكار حلاوة 400 غم فستق 1*12,حبة,1056,568.286,1057,0,0.537640492
26000055,1/12/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,328,295.716,328,0,0.901573171
26000056,1/12/2026,1021130,الموسم حلاوة 400 غم فستق دمعة 1*12,حبة,1728,922.493,1728,0,0.533850116
26000057,1/12/2026,1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,حبة,768,710.157,768,0,0.924683594
26000058,1/12/2026,1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,حبة,1728,886.55,1728,0,0.513049769
26000059,1/12/2026,1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,حبة,857,888.004,857,0,1.036177363
26000060,1/13/2026,1021037,شيخ الكار حلاوة 400 غم فستق 1*12,حبة,677,376.475,677,0,0.556093058
26000061,1/13/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,3268,3065.172,3268,0,0.937935129
26000062,1/13/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,1200,477.712,1200,0,0.398093333
26000063,1/13/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,100,162.438,100,0,1.62438
26000064,1/13/2026,1021041,شيخ الكار حلاوة 700 غم سادة 1*12,حبة,610,478.095,610,0,0.783762295
26000065,1/13/2026,1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,حبة,102,105.809,102,0,1.037343137
26000066,1/14/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,825,4641.57,825,0,5.626145455
26000067,1/15/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,585,3291.33,585,0,5.626205128
26000068,1/15/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,112,885.976,112,0,7.9105
26000069,1/15/2026,1021062,شيخ الكار حلاوة 800 غم فستق 1*12,حبة,25,27.126,25,0,1.08504
26000070,1/15/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,31,29.141,31,0,0.940032258
26000071,1/15/2026,1021037,شيخ الكار حلاوة 400 غم فستق 1*12,حبة,144,77.494,144,8.17835E-15,0.538152778
26000072,1/15/2026,1021013,شيخ الكار حلاوة 400 غم سادة 1*12,حبة,12,6.518,12,0,0.543166667
26000073,1/15/2026,1021036,شيخ الكار حلاوة 400 غم شوكولاته 1*12,حبة,12,6.717,12,0,0.55975
26000074,1/15/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,12,4.826,12,0,0.402166667
26000075,1/15/2026,1021048,شيخ الكار حلاوة 300 غم سادة 1*12,حبة,12,4.439,12,0,0.369916667
26000076,1/15/2026,1021049,شيخ الكار حلاوة 300 غم شوكولاته 1*12,حبة,12,5.079,12,0,0.42325
26000077,1/15/2026,1021015,شيخ الكار حلاوة 300 غم فستق 1*20 تذوق,حبة,12,6.158,12,0,0.513166667
26000078,1/15/2026,1021047,شيخ الكار حلاوة 400 غم سادة دايت 1*12,حبة,685,689.068,686,0,1.004472303
26000079,1/15/2026,1011020,شيخ الكار طحينية 800 غم 1*12,حبة,558,769.038,558,0,1.378204301
26000080,1/15/2026,1011019,شيخ الكار طحينية 900 غم قارورة 1*12,حبة,1800,2486.64,1800,0,1.381466667
26000081,1/18/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,250,7086.5,250,0,28.346
26000082,1/18/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,112,3265.472,112,0,29.156
26000083,1/18/2026,1011019,شيخ الكار طحينية 900 غم قارورة 1*12,حبة,1560,2155.088,1560,0,1.381466667
26000084,1/18/2026,1011023,شيخ الكار طحينية 300 غم 1*12,حبة,37,17.014,37,0,0.459837838
26000085,1/18/2026,1011007,ميار طحينية 900 غم مطرة 1*12,حبة,3600,5115.78,3600,0,1.42105
26000086,1/18/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,863,4855.278,863,0,5.62604635
26000087,1/18/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,99,783.268,99,0,7.91179798
26000088,1/19/2026,1011022,شيخ الكار طحينية 3500 غم 1*4,حبة,1,5.65,1,0,5.65
26000089,1/19/2026,1011019,شيخ الكار طحينية 900 غم قارورة 1*12,حبة,2196,3033.701,2196,0,1.381466758
26000090,1/19/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,69,522.098,69,0,7.566637681
26000091,1/19/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,20,34.057,20,0,1.70285
26000092,1/19/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,17,15.251,17,0,0.897117647
26000093,1/19/2026,1171015,طحينية بلك شيخ الكار حجر,kg,7000,10496.465,7000,0,1.499495
26000094,1/20/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,2631,2564.456,2631,38.854465,0.974707716
26000095,1/20/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,754,867.312,754,67.71348,1.150281167
26000096,1/20/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,774,913.506,774,1.879836,1.18024031
26000097,1/21/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,6756,9438.132,6756,0,1.397
26000098,1/20/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,873,875.36,873,10.952736,1.002703322
26000099,1/20/2026,1171028,حلاوة بلك فستق ميار,kg,492,554.552,492,4.962832,1.127138211
26000100,1/20/2026,1171013,حلاوة بلك رشة فستق ميار,kg,385,445.198,385,0,1.156358442
26000101,1/20/2026,1171013,حلاوة بلك رشة فستق ميار,kg,385,0,385,0,0
26000102,1/20/2026,1171013,حلاوة بلك رشة فستق ميار,kg,385,445.198,385,18.20997,1.156358442
26000103,1/22/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,2325,2129.783,2325,0,0.916035699
26000104,1/20/2026,1021012,شيخ الكار حلاوة 15 كغم سادة 1*1,تنكة,50,797.25,50,0,15.945
26000105,1/21/2026,1171028,حلاوة بلك فستق ميار,kg,475,530.113,475,0,1.116027368
26000106,1/22/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,12,16.578,12,0,1.3815
26000107,1/22/2026,1141003,سمسم محمص 50 كغم,kg,2,2.589,2,0,1.2945
26000108,1/21/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,1726.5,1660.54,1726.5,17.194274,0.96179554
26000109,1/21/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,324,345.454,324,3.237328,1.066216049
26000110,1/21/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,1417,1524.678,1417,13.046796,1.07599012
26000111,1/20/2026,1011035,شيخ الكار طحينية 18 كغم سطل 1*1,تنكة,624,17691.648,624,0,28.352
26000112,1/20/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,50,1415.5,50,0,28.31
26000113,1/20/2026,1011043,لوكسر طحينية 450 غم 1*12,حبة,2400,1800.88,2400,0,0.750366667
26000114,1/20/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,1172,1056.408,1172,0,0.901372014
26000115,1/20/2026,1021041,شيخ الكار حلاوة 700 غم سادة 1*12,حبة,586,458.911,586,0,0.783124573
26000116,1/20/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,4,30.274,4,0,7.5685
26000117,1/20/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,443,707.628,443,0,1.597354402
26000118,1/20/2026,1021005,ميار حلاوة 300 غم رشة فستق 1*12,حبة,1452,591.47,1452,0,0.407348485
26000119,1/21/2026,1011022,شيخ الكار طحينية 3500 غم 1*4,حبة,2,11.285,2,0,5.6425
26000120,1/21/2026,1011088,الموسم طحينية 800 غم  1*12,حبة,960,1301.744,960,0,1.355983333
26000121,1/21/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,3960,3316.236,3960,0,0.837433333
26000122,1/21/2026,1021021,الموسم حلاوة 800 غم سادة 1*12,حبة,1920,1764.64,1920,0,0.919083333
26000123,1/20/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,428,683.56,428,0,1.597102804
26000124,1/21/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,1200,482.572,1200,0,0.402143333
26000125,1/20/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,1171,1997.938,1171,0,1.706181042
26000126,1/20/2026,1021032,ميار حلاوة 800غ سادة 1*12,حبة,424,413.154,424,0,0.974419811
26000127,1/18/2026,1011121,الفاخرة طحينية 270 غم 1*12,حبة,3804,2154.256,3804,0,0.566313354
26000128,1/18/2026,1011120,الفاخرة طحينية 500 غم 1*12,حبة,13548,12995.919,13548,0,0.95925
26000129,1/18/2026,1011091,شيخ الكار طحينية 700 غم 1*12,حبة,103,111.179,103,0,1.079407767
26000130,1/18/2026,1011094,شيخ الكار طحينية 500 غم 1*12,حبة,31,23.716,31,0,0.765032258
26000131,1/22/2026,1171015,طحينية بلك شيخ الكار حجر,kg,10000,14994.95,10000,0,1.499495
26000132,1/25/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,1,13.354,1,0,13.354
26000133,1/25/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,360,4810.32,360,0,13.362
26000134,1/22/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,9000,7536.366,9000,0,0.837374
26000135,1/12/2026,1171019,طحينية سودا بلك حبة كاملة,kg,1080,1453.788,1080,0,1.3461
26000136,1/18/2026,1171015,طحينية بلك شيخ الكار حجر,kg,15000,22492.425,15000,0,1.499495
26000137,1/26/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,18,24.805,18,0,1.378055556
26000138,1/22/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,426,415.806,426,5.548152,0.976070423
26000139,1/22/2026,1171028,حلاوة بلك فستق ميار,kg,290,316.764,290,3.22,1.092289655
26000140,1/22/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,1343,1337.358,1343,50.828368,0.995798958
26000141,1/22/2026,1171030,حلاوة بلك ملوكي شيخ الكار,kg,96,131.648,96,2.54976,1.371333333
26000142,1/25/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,100,2827.4,100,0,28.274
26000143,1/25/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,10800,9044.28,10800,0,0.837433333
26000144,1/25/2026,1011076,العلوي طحينية 900 غم مطرة 1*12,حبة,492,687.029,492,0,1.396400407
26000145,1/25/2026,1011063,النور طحينية 500 غم 1*12,حبة,3840,3434.24,3840,0,0.894333333
26000146,1/22/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,162,181.431,162,5.263812,1.119944444
26000147,1/22/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,928,1066.515,928,0,1.149261853
26000148,1/22/2026,1021007,شيخ الكار حلاوة 1 كغم ملوكية بالمكسرات 1*8,حبة,1,1.555,1,0,1.555
26000149,1/22/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,6,7.421,6,0,1.236833333
26000150,1/25/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,1734,1661.03,1734,1.70417E-13,0.957918108
26000151,1/25/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,855,917.298,855,8.07957,1.072863158
26000152,1/25/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1788,1766.654,1788,3.186957,0.988061521
26000153,1/22/2026,1021032,ميار حلاوة 800غ سادة 1*12,حبة,173,167.004,173,0,0.96534104
26000154,1/22/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,17.8,17.616,17.8,0,0.989662921
26000155,1/22/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,261,399.325,261,0,1.529980843
26000156,1/22/2026,1021059,شيخ الكار حلاوة 800 غم ملوكية بالمكسرات 1*12,حبة,119,154.825,119,0,1.30105042
26000157,1/22/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,50,20.119,50,0,0.40238
26000158,1/22/2026,1021054,شيخ الكار حلاوة 3 كغم فستق 1*6,حبة,3,12.486,3,0,4.162
26000159,1/22/2026,1021049,شيخ الكار حلاوة 300 غم شوكولاته 1*12,حبة,1714,724.105,1714,0,0.422464994
26000160,1/22/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,732,660.101,732,6.53131E-14,0.901777322
26000161,1/22/2026,1021041,شيخ الكار حلاوة 700 غم سادة 1*12,حبة,330,258.824,330,0,0.784315152
26000162,1/27/2026,1011045,عرفة طحينية 900 غم 1*12,حبة,1200,1724.46,1200,0,1.43705
26000163,1/19/2026,1021160,الفاخرة حلاوة 500 غم 1*12,حبة,5928,3880.172,5928,0,0.654549933
26000164,1/19/2026,1021159,الفاخرة حلاوة 300 غم فستق 1*12,حبة,2256,875.696,2256,0,0.388163121
26000165,1/20/2026,1021159,الفاخرة حلاوة 300 غم فستق 1*12,حبة,2844,1103.937,2844,0,0.388163502
26000166,1/20/2026,1011089,جولدن سوان طحينية 450 غم  1*12,حبة,1416,1151.987,1416,0,0.813550141
26000168,1/25/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,85,114.75,85,0,1.35
26000169,1/25/2026,1171028,حلاوة بلك فستق ميار,kg,512,581.445,512,4.23708,1.135634766
26000170,1/25/2026,1021063,شيخ الكار حلاوة 2300 غم فستق 1*4,حبة,393,1059.202,393,0,2.695170483
26000171,1/25/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,461,726.657,461,0,1.576262473
26000172,1/25/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,1108,1037.92,1108,0,0.936750903
26000173,1/25/2026,1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,حبة,3414,1724.838,3414,0,0.505224956
26000174,1/26/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,50,667.685,50,0,13.3537
26000175,1/26/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,421,418.804,421,6.840118,0.994783848
26000176,1/26/2026,1171028,حلاوة بلك فستق ميار,kg,404,428.754,404,5.24564,1.061272277
26000177,1/28/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,3508,3385.959,3508,1.63425E-16,0.965210661
26000178,1/26/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,2421,2685.107,2421,0,1.109090045
26000179,1/26/2026,1171030,حلاوة بلك ملوكي شيخ الكار,kg,169,203.997,169,0,1.20708284
26000180,1/26/2026,1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,حبة,4,1.948,4,0,0.487
26000181,1/26/2026,1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,حبة,44,22.112,44,0,0.502545455
26000182,1/26/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,364,544.308,364,0,1.495351648
26000183,1/26/2026,1021046,شيخ الكار حلاوة 300 غم كاجو 1*12,حبة,600,260.384,600,0,0.433973333
26000184,1/26/2026,1021007,شيخ الكار حلاوة 1 كغم ملوكية بالمكسرات 1*8,حبة,7,9.491,7,0,1.355857143
26000185,1/26/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,12,16.885,12,0,1.407083333
26000186,1/26/2026,1011063,النور طحينية 500 غم 1*12,حبة,6906,6176.361,6906,0,0.894347089
26000187,1/26/2026,1011059,النور طحينية 1 كغم 1*12,حبة,3300,5625.4,3300,0,1.704666667
26000188,1/22/2026,1171015,طحينية بلك شيخ الكار حجر,kg,40000,60787.854,40000,0,1.51969635
26000189,1/26/2026,1021048,شيخ الكار حلاوة 300 غم سادة 1*12,حبة,1200,443.56,1200,0,0.369633333
26000190,1/26/2026,1021063,شيخ الكار حلاوة 2300 غم فستق 1*4,حبة,424,1175.996,424,0,2.773575472
26000191,1/26/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,1797,1574.539,1797,0,0.876204229
26000192,1/26/2026,1021041,شيخ الكار حلاوة 700 غم سادة 1*12,حبة,980,768.205,980,0,0.783882653
26000193,1/26/2026,1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,حبة,288,476.752,288,0,1.655388889
26000194,1/27/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,100,2865.2,100,0,28.652
26000195,1/27/2026,1011059,النور طحينية 1 كغم 1*12,حبة,4092,7061.428,4092,0,1.725666667
26000196,1/27/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,3828,3103.487,3828,0,0.810733281
26000197,1/27/2026,1171017,طحينية بلك ميار - موسم  كروما,kg,25000,37493,25000,0,1.49972
26000198,1/27/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1760,1761.976,1760,9.70088,1.001122727
26000199,1/29/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,90,121.5,90,0,1.35
26000200,1/27/2026,1171013,حلاوة بلك رشة فستق ميار,kg,1200,1281.738,1200,0,1.068115
26000201,1/27/2026,1171028,حلاوة بلك فستق ميار,kg,660,752.064,660,0,1.139490909
26000202,1/27/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,2240,2223.37,2240,61.22246,0.992575893
26000203,1/27/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,1345,1602.04,1345,0,1.191107807
26000204,1/27/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,486,567.792,486,0,1.168296296
26000205,1/20/2026,1011018,زيت سيرج 1000 مل 1*1,حبة,2,6.792,2,0,3.396
26000206,1/28/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,6305,6201.115,6305,0,0.983523394
26000207,1/28/2026,1171013,حلاوة بلك رشة فستق ميار,kg,452,484.513,452,0,1.071931416
26000208,1/28/2026,1171028,حلاوة بلك فستق ميار,kg,496,554.563,496,0,1.118070565
26000209,1/27/2026,1021030,ميار حلاوة 550 غم رشة فستق 1*12,حبة,2400,1633.2,2400,0,0.6805
26000210,1/28/2026,1021005,ميار حلاوة 300 غم رشة فستق 1*12,حبة,1680,652.588,1681,0,0.388214158
26000211,1/27/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,594,932.956,594,0,1.570632997
26000212,1/27/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,148,1155.658,148,0,7.8085
26000213,1/27/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,714,663.014,714,0,0.928591036
26000214,1/27/2026,1021052,شيخ الكار حلاوة 4 كغم سادة تنك 1*1,تنكة,116,220.586,116,0,1.901603448
26000215,1/27/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,759,693.629,759,6.63931E-14,0.9138722
26000216,1/28/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,150,4297.8,150,0,28.652
26000217,1/28/2026,1011058,النور طحينية 7 كغم 1*1,تنكة,51,587.01,51,0,11.51
26000218,1/28/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,8028,6500.539,8028,0,0.809733308
26000219,1/28/2026,1011059,النور طحينية 1 كغم 1*12,حبة,1,1.726,1,0,1.726
26000220,1/28/2026,1011063,النور طحينية 500 غم 1*12,حبة,1,0.905,1,0,0.905
26000221,1/28/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,447,701.964,447,0,1.570389262
26000222,1/28/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,1073,5993.658,1073,0,5.585888164
26000223,1/20/2026,1171018,زيت سيرج بلك,kg,162,535.876,162,0,3.307876543
26000224,1/29/2026,1011035,شيخ الكار طحينية 18 كغم سطل 1*1,تنكة,1,29.066,1,0,29.066
26000225,1/29/2026,1011044,لوكسر طحينية 450 غم 1*12 اصفر,حبة,3984,3225.978,3984,0,0.809733434
26000226,1/29/2026,1011008,ميار طحينية 550 غم 1*12,حبة,200,172.931,200,0,0.864655
26000227,1/29/2026,1011004,الموسم طحينية 900 غم 1*12,حبة,1200,1673.14,1200,0,1.394283333
26000228,1/28/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,1073,0,1073,0,0
26000229,1/12/2026,1171018,زيت سيرج بلك,kg,162,550.363,162,0,3.397302469
26000230,1/28/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,1073,6046.794,1073,0,5.635409133
26000231,1/29/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,3150,3077.758,3150,0.406169,0.977066032
26000232,1/29/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,630,3550.56,630,0,5.635809524
26000233,1/31/2026,1011022,شيخ الكار طحينية 3500 غم 1*4,حبة,200,1220.7,200,0,6.1035
26000234,1/31/2026,1011021,شيخ الكار طحينية 5 كغم 1*4,حبة,200,1757.45,200,0,8.78725
26000235,1/31/2026,1011050,سيلك رود طحينية 1 كغم مطرة 1*12,حبة,1080,1801.35,1080,0,1.667916667
26000236,2/1/2026,1011007,ميار طحينية 900 غم مطرة 1*12,حبة,3600,4975.02,3600,0,1.38195
26000237,1/31/2026,1011005,ميار طحينية 250 غم 1*12,حبة,3000,1268.73,3000,0,0.42291
26000238,1/29/2026,1011008,ميار طحينية 550 غم 1*12,حبة,2200,1902.373,2200,0,0.864715
26000239,2/1/2026,1011007,ميار طحينية 900 غم مطرة 1*12,حبة,972,1343.255,972,0,1.381949588
26000240,2/1/2026,1011050,سيلك رود طحينية 1 كغم مطرة 1*12,حبة,1140,1901.425,1140,0,1.667916667
26000241,2/1/2026,1011047,الميلاد طحينية 900 غم قارورة 1*12,حبة,1200,1674.3,1200,0,1.39525
26000242,2/1/2026,1011116,الميلاد طحينية 300 غم مطرة 1*12 قارورة,حبة,1200,566.68,1200,0,0.472233333
26000243,2/1/2026,1011006,شيخ الكار طحينية 300 غم 1*12 جديد,حبة,1800,836.262,1800,0,0.46459
26000244,2/1/2026,1011020,شيخ الكار طحينية 800 غم 1*12,حبة,960,1335.92,960,0,1.391583333
26000245,2/1/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,100,2865.2,100,0,28.652
26000246,2/2/2026,1011005,ميار طحينية 250 غم 1*12,حبة,3588,1530.013,3588,0,0.426425028
26000247,1/31/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,4883.5,9511.818,4883.5,4798.202817,1.947746084
26000248,1/31/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,3968,14064.548,3968,9238.165068,3.544492944
26000249,1/31/2026,1171026,حلاوة بلك شوكولاته شيخ الكار,kg,984,1112.09,984,0,1.130172764
26000250,1/31/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1752.5,1740.696,1752.5,10.9054,0.993264479
26000251,1/31/2026,1171013,حلاوة بلك رشة فستق ميار,kg,493,523.022,493,0,1.060896552
26000252,1/31/2026,1171028,حلاوة بلك فستق ميار,kg,323,398.583,323,0,1.234003096
26000253,1/31/2026,1021038,شيخ الكار حلاوة 700 غم شوكولاته 1*12,حبة,1536,1366.451,1536,0,0.889616536
26000254,1/31/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,288,485.269,288,0,1.684961806
26000255,1/31/2026,1021024,الموسم حلاوة 6 كغم فستق 1*4,حبة,388,2849.084,388,0,7.343
26000256,1/31/2026,1021005,ميار حلاوة 300 غم رشة فستق 1*12,حبة,1824,706.377,1824,0,0.387268092
26000257,1/31/2026,1021063,شيخ الكار حلاوة 2300 غم فستق 1*4,حبة,196,544.9,196,0,2.780102041
26000258,1/31/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,200,1466.9,200,0,7.3345
26000259,2/1/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,5336,10270.544,5336,5120.035194,1.924764618
26000260,2/1/2026,1011050,سيلك رود طحينية 1 كغم مطرة 1*12,حبة,120,197.84,120,0,1.648666667
26000261,1/31/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,169,962.442,169,0,5.694923077
26000262,2/1/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,4878,5407.668,4878,0,1.108583026
26000263,2/1/2026,1171029,حلاوة بلك رشة شيخ الكار,kg,516,549.048,516,0,1.064046512
26000264,2/1/2026,1171020,حلاوة بلك سادة ميار - موسم,kg,1407,1334.022,1407,0,0.948132196
26000265,2/1/2026,1171028,حلاوة بلك فستق ميار,kg,1416,1467.495,1416,0,1.036366525
26000266,2/2/2026,1021024,الموسم حلاوة 6 كغم فستق 1*4,حبة,416,3047.2,416,0,7.325
26000267,2/2/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,100,731.65,100,0,7.3165
26000268,2/2/2026,1021039,شيخ الكار حلاوة 700 غم فستق 1*12,حبة,2700,2365.677,2700,0,0.876176667
26000269,2/2/2026,1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,حبة,1800,718.512,1800,0,0.399173333
26000270,2/2/2026,1021020,ميار حلاوة 2200 غم برش فستق 1*4,حبة,528,1271.701,528,0,2.408524621
26000271,2/3/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,840,799.639,840,0,0.95195119
26000272,2/2/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,1285,1271.521,1285,31.161395,0.989510506
26000273,2/2/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,150,4297.8,150,0,28.652
26000274,2/2/2026,1011088,الموسم طحينية 800 غم  1*12,حبة,600,791.51,600,0,1.319183333
26000275,2/2/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,100,0,100,0,0
26000276,2/2/2026,1171022,حلاوة بلك سادة شيخ الكار,kg,5285,5128.189,5285,26.91205,0.970329044
26000277,2/2/2026,1171031,حلاوة بلك فستق شيخ الكار,kg,5360,6304.245,5360,20.87856,1.176165112
26000278,2/2/2026,1021050,شيخ الكار حلاوة 800 غم سادة 1*12,حبة,372,351.174,372,0,0.944016129
26000279,2/2/2026,1021085,الميلاد حلاوة 1300 غم فستق 1*6,حبة,600,959.394,600,0,1.59899
26000280,2/2/2026,1021090,الميلاد حلاوة 300 غم 1*12  فستق,حبة,2424,1138.755,2424,0,0.469783416
26000281,2/2/2026,1021084,الميلاد حلاوة 2300 غم فستق 1*4,حبة,400,1161.63,400,0,2.904075
