ProductionOrderNo,OrderStatus,FinishedItemCode,FinishedItemName,OrderDate,TotalProducedQty,IssueDocumentNo,RawMaterialCode,RawMaterialName,ActualConsumedQty,UnitPrice,TotalMaterialCost,FromWarehouse
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1181091,كرتون سيلك رود طحينية 650 غم قديم,100,0.282,28.2,WIP
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1181211,مرتبان سيلك رود طحينية 650 غم,1200,0.083,99.6,WIP
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1171015,طحينية بلك شيخ الكار حجر,780,1.6,1248,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1181225,مطرة سيلك رود طحينية 1 كغم,1800,0.105,189,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1181007,كرتون متعدد طحينية 1 كغم مطرة,149.4,0.515,76.941,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1171015,طحينية بلك شيخ الكار حجر,1800,1.6,2880,WIP
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1181224,مطرة قاسيون طحينية 1 كغم,1204,0.105,126.42,PKGWH
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1181007,كرتون متعدد طحينية 1 كغم مطرة,100,0.515,51.5,PKGWH
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1171015,طحينية بلك شيخ الكار حجر,1204,1.6,1926.4,WIP
26000004,Closed (مغلق),1011013,الموسم طحينية 15 كغم تنك 1*1,1/12/2026,15,26000003,1171017,طحينية بلك ميار - موسم  كروما,214.5,1.57,336.765,WIP
26000004,Closed (مغلق),1011013,الموسم طحينية 15 كغم تنك 1*1,1/12/2026,15,26000003,1181326,تنك الموسم طحينية 15 كغم,15,1.35,20.25,WIP
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1181056,مرتبان الموسم طحينية 400 غم,3648,0.094,342.912,PKGWH
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1181411,كرتون الموسم طحينية 400 غم محلي,304,0.3,91.2,PKGWH
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1171017,طحينية بلك ميار - موسم  كروما,1276.8,1.57,2004.576,WIP
26000006,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/12/2026,27,26000008,1181312,تنك شيخ الكار طحينية 9 كغم -فارغ,27,1.178,31.806,PKGWH
26000006,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/12/2026,27,26000008,1171015,طحينية بلك شيخ الكار حجر,224.1,1.6,358.56,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1181213,مطرة القيسي طحينية 900 غم,120,0.105,12.6,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1181013,كرتون متعدد طحينية 900 غم مطرة,10,0.207,2.07,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1171015,طحينية بلك شيخ الكار حجر,102,1.6,163.2,WIP
26000008,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,240,26000005,1171015,طحينية بلك شيخ الكار حجر,3420,1.6,5472,WIP
26000008,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,240,26000005,1181304,تنك شيخ الكار طحينية 15 كغم -فارغ,240,1.313,315.12,PKGWH
26000011,Closed (مغلق),1011004,الموسم طحينية 900 غم 1*12,1/13/2026,1200,26000010,1171017,طحينية بلك ميار - موسم  كروما,1020,1.57,1601.4,WIP
26000011,Closed (مغلق),1011004,الموسم طحينية 900 غم 1*12,1/13/2026,1200,26000010,1181037,مرتبان الموسم طحينية 800 غم,1200,0.099,118.8,PKGWH
26000011,Closed (مغلق),1011004,الموسم طحينية 900 غم 1*12,1/13/2026,1200,26000010,1181008,كرتون متعدد طحينية 800 غم اكسترا فاخرة,99.6,0.223,22.211,PKGWH
26000021,Closed (مغلق),1011035,شيخ الكار طحينية 18 كغم سطل 1*1,1/7/2026,200,26000006,1181355,سطل شيخ الكار طحينية 18 كغم,200,1.334,266.8,PKGWH
26000021,Closed (مغلق),1011035,شيخ الكار طحينية 18 كغم سطل 1*1,1/7/2026,200,26000006,1181004,كرتون متعدد طحينية 18 كغم متعدد,200,0.372,74.4,PKGWH
26000021,Closed (مغلق),1011035,شيخ الكار طحينية 18 كغم سطل 1*1,1/7/2026,200,26000006,1171015,طحينية بلك شيخ الكار حجر,3600,1.6,5760,WIP
26000022,Closed (مغلق),1011019,شيخ الكار طحينية 900 غم قارورة 1*12,1/10/2026,1200,26000011,1171015,طحينية بلك شيخ الكار حجر,1020,1.6,1632,WIP
26000022,Closed (مغلق),1011019,شيخ الكار طحينية 900 غم قارورة 1*12,1/10/2026,1200,26000011,1181097,كرتون شيخ الكار طحينية 900 غم جديد ابيض,100,0.107,10.7,PKGWH
26000022,Closed (مغلق),1011019,شيخ الكار طحينية 900 غم قارورة 1*12,1/10/2026,1200,26000011,1181192,قارورة طحينية  شيخ الكار 900 غم  جديد,1200,0.095,114,PKGWH
26000023,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/18/2026,50,26000012,1181301,تنك شيخ الكار طحينية 18 كغم -فارغ,13,1.301,16.913,PKGWH
26000023,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/18/2026,50,26000012,1171015,طحينية بلك شيخ الكار حجر,900,1.6,1440,WIP
26000023,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/18/2026,50,26000012,1181487,تنك شيخ الكار طحينية 18 كغم -جديد (برتقالي),37,1.35,49.95,PKGWH
26000024,Closed (مغلق),1011029,شيخ الكار طحينية 8 كغم تنك 1*1,1/7/2026,86,26000013,1181302,تنك شيخ الكار طحينية 8 كغم -فارغ (سكني),63,1.093,68.859,PKGWH
26000024,Closed (مغلق),1011029,شيخ الكار طحينية 8 كغم تنك 1*1,1/7/2026,86,26000013,1171015,طحينية بلك شيخ الكار حجر,627.8,1.6,1004.48,WIP
26000024,Closed (مغلق),1011029,شيخ الكار طحينية 8 كغم تنك 1*1,1/7/2026,86,26000013,1181303,تنك شيخ الكار طحينية 8 كغم -فارغ (قديم)  - أصفر,23,1.267,29.141,PKGWH
26000025,Closed (مغلق),1011119,شيخ الكار طحينية 7 كغم تنك 1*1,1/7/2026,413,26000014,1171017,طحينية بلك ميار - موسم  كروما,2891,1.57,4538.87,WIP
26000025,Closed (مغلق),1011119,شيخ الكار طحينية 7 كغم تنك 1*1,1/7/2026,413,26000014,1181302,تنك شيخ الكار طحينية 8 كغم -فارغ (سكني),413,1.093,451.409,PKGWH
26000026,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/12/2026,960,26000015,1171017,طحينية بلك ميار - موسم  كروما,768,1.57,1205.76,WIP
26000026,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/12/2026,960,26000015,1181008,كرتون متعدد طحينية 800 غم اكسترا فاخرة,80,0.223,17.84,PKGWH
26000026,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/12/2026,960,26000015,1181037,مرتبان الموسم طحينية 800 غم,960,0.099,95.04,PKGWH
26000027,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/13/2026,960,26000016,1171017,طحينية بلك ميار - موسم  كروما,768,1.57,1205.76,WIP
26000027,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/13/2026,960,26000016,1181008,كرتون متعدد طحينية 800 غم اكسترا فاخرة,80,0.223,17.84,PKGWH
26000027,Closed (مغلق),1011088,الموسم طحينية 800 غم  1*12,1/13/2026,960,26000016,1181037,مرتبان الموسم طحينية 800 غم,960,0.099,95.04,PKGWH
26000028,Closed (مغلق),1011020,شيخ الكار طحينية 800 غم 1*12,1/13/2026,120,26000017,1181117,كرتون شيخ الكار طحينية 800 غم,10,0.247,2.47,PKGWH
26000028,Closed (مغلق),1011020,شيخ الكار طحينية 800 غم 1*12,1/13/2026,120,26000017,1181196,مرتبان شيخ الكار طحينية 800 غم,120,0.149,17.88,PKGWH
26000028,Closed (مغلق),1011020,شيخ الكار طحينية 800 غم 1*12,1/13/2026,120,26000017,1171015,طحينية بلك شيخ الكار حجر,96,1.6,153.6,WIP
26000029,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/13/2026,720,26000037,1181312,تنك شيخ الكار طحينية 9 كغم -فارغ,720,0.912,656.64,PKGWH
26000029,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/13/2026,720,26000037,1171015,طحينية بلك شيخ الكار حجر,5976,1.503,8981.928,WIP
26000030,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/13/2026,386,26000018,1181487,تنك شيخ الكار طحينية 18 كغم -جديد (برتقالي),386,1.35,521.1,PKGWH
26000030,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/13/2026,386,26000018,1171017,طحينية بلك ميار - موسم  كروما,6948,1.57,10908.36,WIP
26000031,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/7/2026,112,26000019,1181487,تنك شيخ الكار طحينية 18 كغم -جديد (برتقالي),112,1.35,151.2,PKGWH
26000031,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/7/2026,112,26000019,1171017,طحينية بلك ميار - موسم  كروما,2016,1.57,3165.12,WIP
26000032,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,20,26000020,1171015,طحينية بلك شيخ الكار حجر,285,1.6,456,WIP
26000032,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,20,26000020,1181304,تنك شيخ الكار طحينية 15 كغم -فارغ,20,1.313,26.26,PKGWH
26000033,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/11/2026,240,26000035,1181312,تنك شيخ الكار طحينية 9 كغم -فارغ,240,0.912,218.88,PKGWH
26000033,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/11/2026,240,26000035,1171015,طحينية بلك شيخ الكار حجر,1992,1.517,3021.864,WIP
26000034,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,15,26000021,1181225,مطرة سيلك رود طحينية 1 كغم,15,0.105,1.575,PKGWH
26000034,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,15,26000021,1181007,كرتون متعدد طحينية 1 كغم مطرة,1,0.515,0.515,PKGWH
26000034,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,15,26000021,1171015,طحينية بلك شيخ الكار حجر,15,1.6,24,WIP
26000035,Closed (مغلق),1011025,شيخ الكار طحينية 600 غم 1*12,1/14/2026,1320,26000022,1181116,كرتون شيخ الكار طحينية 600 غم,110,0.199,21.89,PKGWH
26000035,Closed (مغلق),1011025,شيخ الكار طحينية 600 غم 1*12,1/14/2026,1320,26000022,1181190,مرتبان شيخ الكار طحينية 600 غم,1320,0.122,161.04,PKGWH
26000035,Closed (مغلق),1011025,شيخ الكار طحينية 600 غم 1*12,1/14/2026,1320,26000022,1171015,طحينية بلك شيخ الكار حجر,792,1.6,1267.2,WIP
26000036,Closed (مغلق),1011003,الموسم طحينية 18 كغم تنك 1*1,1/18/2026,135,26000023,1171017,طحينية بلك ميار - موسم  كروما,2430,1.57,3815.1,WIP
26000036,Closed (مغلق),1011003,الموسم طحينية 18 كغم تنك 1*1,1/18/2026,135,26000023,1181327,تنك الموسم طحينية 18 كغم -فارغ,135,1.334,180.09,PKGWH
26000037,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/14/2026,1572,26000031,1181056,مرتبان الموسم طحينية 400 غم,1572,0.12,188.64,PKGWH
26000037,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/14/2026,1572,26000031,1181370,كرتون اكسترا فاخرة طحينية 400 غم,1572,0.165,259.38,PKGWH
26000037,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/14/2026,1572,26000031,1171017,طحينية بلك ميار - موسم  كروما,550.2,1.548,851.71,WIP
26000038,Closed (مغلق),1011045,عرفة طحينية 900 غم 1*12,1/14/2026,1212,26000030,1181227,مطرة عرفة طحينية 900 غم,1212,0.088,106.656,PKGWH
26000038,Closed (مغلق),1011045,عرفة طحينية 900 غم 1*12,1/14/2026,1212,26000030,1181013,كرتون متعدد طحينية 900 غم مطرة,100,0.207,20.7,PKGWH
26000038,Closed (مغلق),1011045,عرفة طحينية 900 غم 1*12,1/14/2026,1212,26000030,1171017,طحينية بلك ميار - موسم  كروما,1030.2,1.548,1594.75,WIP
26000039,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/14/2026,300,26000034,1181487,تنك شيخ الكار طحينية 18 كغم -جديد (برتقالي),300,1.292,387.6,PKGWH
26000039,Closed (مغلق),1011027,شيخ الكار طحينية 18 كغم تنك 1*1,1/14/2026,300,26000034,1171015,طحينية بلك شيخ الكار حجر,5400,1.517,8191.8,WIP
26000040,Closed (مغلق),1011005,ميار طحينية 250 غم 1*12,1/14/2026,3000,26000025,1181236,مرتبان ميار طحينية 250 غم,3000,0.085,255,PKGWH
26000040,Closed (مغلق),1011005,ميار طحينية 250 غم 1*12,1/14/2026,3000,26000025,1181012,كرتون ميار طحينية 250 غم صواني,249,0.09,22.41,PKGWH
26000040,Closed (مغلق),1011005,ميار طحينية 250 غم 1*12,1/14/2026,3000,26000025,1171017,طحينية بلك ميار - موسم  كروما,660,1.548,1021.68,WIP
26000041,Closed (مغلق),1011026,شيخ الكار طحينية 400 غم 1*12,1/14/2026,1212,26000027,1181186,مرتبان شيخ الكار طحينية 400 غم,1212,0.116,140.592,PKGWH
26000041,Closed (مغلق),1011026,شيخ الكار طحينية 400 غم 1*12,1/14/2026,1212,26000027,1181120,كرتون شيخ الكار طحينية 400 غم,100,0.15,15,PKGWH
26000041,Closed (مغلق),1011026,شيخ الكار طحينية 400 غم 1*12,1/14/2026,1212,26000027,1171015,طحينية بلك شيخ الكار حجر,484.8,1.6,775.68,WIP
26000042,Closed (مغلق),1011024,شيخ الكار طحينية 250 غم 1*12,1/14/2026,1404,26000026,1181188,مرتبان شيخ الكار طحينية 250 غم,1404,0.1,140.4,PKGWH
26000042,Closed (مغلق),1011024,شيخ الكار طحينية 250 غم 1*12,1/14/2026,1404,26000026,1181114,كرتون شيخ الكار طحينية 250 غم,117,0.121,14.157,PKGWH
26000042,Closed (مغلق),1011024,شيخ الكار طحينية 250 غم 1*12,1/14/2026,1404,26000026,1171015,طحينية بلك شيخ الكار حجر,351,1.6,561.6,WIP
26000043,Closed (مغلق),1171017,طحينية بلك ميار - موسم  كروما,1/18/2026,20000,26000024,1171024,سمسم خام برازيلي k3,23200,1.282,29742.4,RMWH
26000043,Closed (مغلق),1171017,طحينية بلك ميار - موسم  كروما,1/18/2026,20000,26000024,1171006,ملح,4500,0.264,1188,WIP
26000044,Closed (مغلق),1171015,طحينية بلك شيخ الكار حجر,1/12/2026,20000,26000028,1141002,سمسم خام,23.2,1282,29742.4,RMWH
26000044,Closed (مغلق),1171015,طحينية بلك شيخ الكار حجر,1/12/2026,20000,26000028,1171006,ملح,4500,0.055,247.5,WIP
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171010,جلوكوز,1589.003,0.36,572.041,RMWH
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171014,عرق حلاوة,42.369,1.503,63.681,RMWH
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1081001,سكر 50 كعم 20*50,3.175,398.933,1266.612,RMWH
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171008,مثبت,169.495,1.473,249.666,RMWH
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171005,فانيلا,3.175,14.666,46.565,RMWH
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171015,طحينية بلك شيخ الكار حجر,4623.99,1.517,7014.593,WIP
26000045,Closed (مغلق),1171022,حلاوة بلك سادة شيخ الكار,1/20/2026,9534,26000032,1171001,ملح ليمون,5.301,0.736,3.902,RMWH
26000046,Closed (مغلق),1171031,حلاوة بلك فستق شيخ الكار,1/12/2026,4803,26000033,1171022,حلاوة بلك سادة شيخ الكار,4716.546,0.967,4560.9,WIP
26000046,Closed (مغلق),1171031,حلاوة بلك فستق شيخ الكار,1/12/2026,4803,26000033,1171011,فستق حلبي,86.454,14.34,1239.75,WIP
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171010,جلوكوز,2351.671,0.36,846.602,RMWH
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171014,عرق حلاوة,62.705,1.503,94.246,RMWH
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1081001,سكر 50 كعم 20*50,4.699,477,2241.423,RMWH
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171008,مثبت,250.848,1.473,369.499,RMWH
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171005,فانيلا,4.699,14.666,68.916,RMWH
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171015,طحينية بلك شيخ الكار حجر,7125.55,1.517,10809.459,WIP
26000047,Closed (مغلق),1171020,حلاوة بلك سادة ميار - موسم,1/20/2026,14110,26000029,1171001,ملح ليمون,7.845,0.736,5.774,RMWH
26000048,Closed (مغلق),1171015,طحينية بلك شيخ الكار حجر,1/21/2026,20000,26000036,1141002,سمسم خام,23.2,1282,29742.4,RMWH
26000048,Closed (مغلق),1171015,طحينية بلك شيخ الكار حجر,1/21/2026,20000,26000036,1171006,ملح,4500,0.055,247.5,WIP
26000049,Closed (مغلق),1171028,حلاوة بلك فستق ميار,1/21/2026,1459,26000064,1171020,حلاوة بلك سادة ميار - موسم,1440,1.007,1450.08,WIP
26000049,Closed (مغلق),1171028,حلاوة بلك فستق ميار,1/21/2026,1459,26000064,1171011,فستق حلبي,19,13.954,265.126,WIP
26000050,Closed (مغلق),1171026,حلاوة بلك شوكولاته شيخ الكار,1/21/2026,16,26000065,1171022,حلاوة بلك سادة شيخ الكار,14.848,0.966,14.343,WIP
26000050,Closed (مغلق),1171026,حلاوة بلك شوكولاته شيخ الكار,1/21/2026,16,26000065,1171003,كاكاو,0.5,6,3,RMWH
26000050,Closed (مغلق),1171026,حلاوة بلك شوكولاته شيخ الكار,1/21/2026,16,26000065,1171015,طحينية بلك شيخ الكار حجر,0.65,1.503,0.977,WIP
26000051,Closed (مغلق),1171029,حلاوة بلك رشة شيخ الكار,1/13/2026,3705,26000040,1171022,حلاوة بلك سادة شيخ الكار,3678.5,0.967,3557.11,WIP
26000051,Closed (مغلق),1171029,حلاوة بلك رشة شيخ الكار,1/13/2026,3705,26000040,1171011,فستق حلبي,26.5,14.34,380.01,WIP
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171008,مثبت,5,1.473,7.365,RMWH
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171005,فانيلا,0.1,14.666,1.467,RMWH
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171014,عرق حلاوة,1.5,1.503,2.255,RMWH
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171015,طحينية بلك شيخ الكار حجر,135,1.503,202.905,WIP
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171007,قطر دايت,9,1.428,12.852,RMWH
26000052,Closed (مغلق),1171016,حلاوة بلك دايت,1/13/2026,283.6,26000066,1171009,بديل السكر,150,2.776,416.4,RMWH
26000053,Closed (مغلق),1021013,شيخ الكار حلاوة 400 غم سادة 1*12,1/12/2026,1734,26000067,1171022,حلاوة بلك سادة شيخ الكار,693.6,0.966,670.018,WIP
26000053,Closed (مغلق),1021013,شيخ الكار حلاوة 400 غم سادة 1*12,1/12/2026,1734,26000067,1181419,علب شيخ الكار حلاوة 400 غم سادة,1734,0.149,258.366,PKGWH
26000053,Closed (مغلق),1021013,شيخ الكار حلاوة 400 غم سادة 1*12,1/12/2026,1734,26000067,1181006,"كرتون متعدد شيخ الكار حلاوة 400 غم (فستق،سادة،شوكولاتة) دمعة",144,0.093,13.392,PKGWH
26000054,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/12/2026,1057,26000068,1181006,"كرتون متعدد شيخ الكار حلاوة 400 غم (فستق،سادة،شوكولاتة) دمعة",88,0.093,8.184,PKGWH
26000054,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/12/2026,1057,26000068,1171031,حلاوة بلك فستق شيخ الكار,422.4,1.151,486.182,WIP
26000054,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/12/2026,1057,26000068,1181359,علبة حلاوة شيخ الكار 400 غ فستق دمعة,1056,0.07,73.92,PKGWH
26000055,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/12/2026,328,26000069,1181113,"كرتون شيخ الكار حلاوة 700/800 غم (فستق،سادة،شوكولاتة،ملوكي) دمعة",27,0.178,4.806,PKGWH
26000055,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/12/2026,328,26000069,1171031,حلاوة بلك فستق شيخ الكار,210,1.151,241.71,WIP
26000055,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/12/2026,328,26000069,1181423,علب شيخ الكار حلاوة 700 غم فستق,328,0.15,49.2,PKGWH
26000056,Closed (مغلق),1021130,الموسم حلاوة 400 غم فستق دمعة 1*12,1/12/2026,1728,26000070,1171028,حلاوة بلك فستق ميار,691.2,1.154,797.645,WIP
26000056,Closed (مغلق),1021130,الموسم حلاوة 400 غم فستق دمعة 1*12,1/12/2026,1728,26000070,1181258,علب الموسم حلاوة 400 غم فستق دمعة,1728,0.058,100.224,PKGWH
26000056,Closed (مغلق),1021130,الموسم حلاوة 400 غم فستق دمعة 1*12,1/12/2026,1728,26000070,1181023,كرتون متعدد حلاوة 400 غم غير مطبوع دمعة,144,0.171,24.624,PKGWH
26000057,Closed (مغلق),1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,1/12/2026,768,26000071,1171020,حلاوة بلك سادة ميار - موسم,614.4,1.007,618.701,WIP
26000057,Closed (مغلق),1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,1/12/2026,768,26000071,1181271,علب الموسم حلاوة 800 غم سادة دمعة,768,0.101,77.568,PKGWH
26000057,Closed (مغلق),1021138,الموسم حلاوة 800 غم سادة دمعة 1*12,1/12/2026,768,26000071,1181024,كرتون متعدد حلاوة 800 غم دمعة,64,0.217,13.888,PKGWH
26000058,Closed (مغلق),1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,1/12/2026,1728,26000119,1171020,حلاوة بلك سادة ميار - موسم,691.2,1.007,696.038,WIP
26000058,Closed (مغلق),1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,1/12/2026,1728,26000119,1181261,علب الموسم حلاوة 400 غم سادة دمعة,1728,0.096,165.888,PKGWH
26000058,Closed (مغلق),1021129,الموسم حلاوة 400 غم سادة دمعة 1*12,1/12/2026,1728,26000119,1181023,كرتون متعدد حلاوة 400 غم غير مطبوع دمعة,144,0.171,24.624,PKGWH
26000059,Closed (مغلق),1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,1/12/2026,857,26000120,1171028,حلاوة بلك فستق ميار,685.6,1.154,791.182,WIP
26000059,Closed (مغلق),1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,1/12/2026,857,26000120,1181265,علب الموسم حلاوة 800 غم فستق دمعة,857,0.095,81.415,PKGWH
26000059,Closed (مغلق),1021137,الموسم حلاوة 800 غم فستق دمعة 1*12,1/12/2026,857,26000120,1181024,كرتون متعدد حلاوة 800 غم دمعة,71,0.217,15.407,PKGWH
26000060,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/13/2026,677,26000121,1181006,"كرتون متعدد شيخ الكار حلاوة 400 غم (فستق،سادة،شوكولاتة) دمعة",56,0.093,5.208,PKGWH
26000060,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/13/2026,677,26000121,1171031,حلاوة بلك فستق شيخ الكار,270.8,1.151,311.691,WIP
26000060,Closed (مغلق),1021037,شيخ الكار حلاوة 400 غم فستق 1*12,1/13/2026,677,26000121,1181359,علبة حلاوة شيخ الكار 400 غ فستق دمعة,677,0.088,59.576,PKGWH
26000061,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/13/2026,3268,26000038,1181113,"كرتون شيخ الكار حلاوة 700/800 غم (فستق،سادة،شوكولاتة،ملوكي) دمعة",272,0.178,48.416,PKGWH
26000061,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/13/2026,3268,26000038,1171031,حلاوة بلك فستق شيخ الكار,2091.52,1.208,2526.556,WIP
26000061,Closed (مغلق),1021039,شيخ الكار حلاوة 700 غم فستق 1*12,1/13/2026,3268,26000038,1181423,علب شيخ الكار حلاوة 700 غم فستق,3268,0.15,490.2,PKGWH
26000062,Closed (مغلق),1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,1/13/2026,1200,26000041,1181022,"كرتون متعدد حلاوة 300 غم (فستق،سادة،شوكولاتة) مستطيل",100,0.157,15.7,PKGWH
26000062,Closed (مغلق),1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,1/13/2026,1200,26000041,1171029,حلاوة بلك رشة شيخ الكار,324,1.063,344.412,WIP
26000062,Closed (مغلق),1021043,شيخ الكار حلاوة 300 غم رشة فستق 1*12,1/13/2026,1200,26000041,1181431,علب شيخ الكار حلاوة 300 غم رشة فستق,1200,0.098,117.6,PKGWH
26000063,Closed (مغلق),1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,1/13/2026,100,26000072,1171029,حلاوة بلك رشة شيخ الكار,121,1.078,130.438,WIP
26000063,Closed (مغلق),1021060,شيخ الكار حلاوة 1300 غم فستق 1*6,1/13/2026,100,26000072,1181434,علب سطل شيخ الكار حلاوة 1800 رشة فستق,100,0.32,32,PKGWH
